order_id,user_id,order_date,status
1,49,2026-07-09 23:48:58.273612,completed
2,655,2026-04-02 23:48:58.273612,completed
3,65,2026-08-11 23:48:58.273612,completed
4,612,2026-04-24 23:48:58.273612,completed
5,648,2026-04-30 23:48:58.273612,processing
6,248,2026-08-03 23:48:58.273612,completed
7,440,2026-09-08 23:48:58.273612,processing
8,362,2026-07-09 23:48:58.273612,processing
9,427,2026-07-23 23:48:58.273612,cancelled
10,685,2026-08-18 23:48:58.273612,processing
11,999,2026-06-08 23:48:58.273612,completed
12,977,2026-04-27 23:48:58.273612,processing
13,520,2026-05-02 23:48:58.273612,processing
14,21,2026-06-01 23:48:58.273612,completed
15,45,2026-03-30 23:48:58.273612,completed
16,383,2026-07-06 23:48:58.273612,cancelled
17,17,2026-06-09 23:48:58.273612,completed
18,354,2026-07-09 23:48:58.273612,cancelled
19,673,2026-04-01 23:48:58.273612,completed
20,791,2026-04-13 23:48:58.273612,cancelled
21,775,2026-06-15 23:48:58.273612,completed
22,46,2026-06-10 23:48:58.273612,processing
23,347,2026-03-28 23:48:58.273612,completed
24,851,2026-03-17 23:48:58.273612,completed
25,713,2026-05-09 23:48:58.273612,cancelled
26,187,2026-08-05 23:48:58.273612,completed
27,734,2026-05-14 23:48:58.273612,completed
28,301,2026-07-19 23:48:58.273612,completed
29,811,2026-07-19 23:48:58.273612,completed
30,324,2026-06-21 23:48:58.273612,processing
31,408,2026-04-22 23:48:58.273612,completed
32,260,2026-08-30 23:48:58.273612,cancelled
33,196,2026-06-27 23:48:58.273612,completed
34,883,2026-08-27 23:48:58.273612,cancelled
35,340,2026-07-01 23:48:58.273612,completed
36,819,2026-06-06 23:48:58.273612,completed
37,911,2026-05-29 23:48:58.273612,cancelled
38,451,2026-06-02 23:48:58.273612,completed
39,998,2026-07-23 23:48:58.273612,completed
40,709,2026-05-04 23:48:58.273612,completed
41,947,2026-04-29 23:48:58.273612,completed
42,821,2026-08-18 23:48:58.273612,cancelled
43,435,2026-08-19 23:48:58.273612,completed
44,617,2026-07-24 23:48:58.273612,processing
45,301,2026-06-18 23:48:58.273612,completed
46,82,2026-06-17 23:48:58.273612,cancelled
47,303,2026-06-22 23:48:58.273612,completed
48,618,2026-05-22 23:48:58.273612,completed
49,707,2026-05-18 23:48:58.273612,completed
50,458,2026-08-29 23:48:58.273612,cancelled
51,891,2026-06-10 23:48:58.273612,processing
52,446,2026-06-30 23:48:58.273612,cancelled
53,811,2026-08-25 23:48:58.273612,completed
54,688,2026-03-29 23:48:58.273612,completed
55,373,2026-04-30 23:48:58.273612,cancelled
56,696,2026-07-30 23:48:58.273612,completed
57,147,2026-04-06 23:48:58.273612,cancelled
58,801,2026-05-19 23:48:58.273612,completed
59,130,2026-08-22 23:48:58.273612,completed
60,798,2026-03-27 23:48:58.273612,completed
61,371,2026-06-02 23:48:58.273612,processing
62,34,2026-04-07 23:48:58.273612,completed
63,696,2026-05-16 23:48:58.273612,completed
64,381,2026-05-18 23:48:58.273612,completed
65,588,2026-08-04 23:48:58.273612,processing
66,376,2026-05-30 23:48:58.273612,completed
67,666,2026-06-29 23:48:58.273612,completed
68,984,2026-08-10 23:48:58.273612,completed
69,754,2026-07-23 23:48:58.273612,completed
70,531,2026-06-01 23:48:58.273612,processing
71,121,2026-07-03 23:48:58.273612,completed
72,721,2026-05-17 23:48:58.273612,completed
73,627,2026-06-27 23:48:58.273612,cancelled
74,939,2026-05-06 23:48:58.273612,completed
75,126,2026-08-05 23:48:58.273612,completed
76,463,2026-07-26 23:48:58.273612,cancelled
77,456,2026-08-17 23:48:58.273612,cancelled
78,991,2026-06-19 23:48:58.273612,cancelled
79,356,2026-08-23 23:48:58.273612,processing
80,556,2026-06-26 23:48:58.273612,completed
81,872,2026-07-30 23:48:58.273612,cancelled
82,727,2026-03-13 23:48:58.273612,cancelled
83,179,2026-06-08 23:48:58.273612,processing
84,230,2026-08-08 23:48:58.273612,completed
85,812,2026-08-04 23:48:58.273612,completed
86,810,2026-05-05 23:48:58.273612,completed
87,370,2026-04-20 23:48:58.273612,processing
88,378,2026-05-12 23:48:58.273612,processing
89,133,2026-04-05 23:48:58.273612,completed
90,68,2026-06-21 23:48:58.273612,completed
91,735,2026-05-09 23:48:58.273612,processing
92,421,2026-05-27 23:48:58.273612,processing
93,76,2026-08-07 23:48:58.273612,completed
94,658,2026-08-21 23:48:58.273612,completed
95,478,2026-03-18 23:48:58.273612,processing
96,353,2026-08-07 23:48:58.273612,processing
97,656,2026-04-11 23:48:58.273612,completed
98,787,2026-08-06 23:48:58.273612,completed
99,515,2026-08-25 23:48:58.273612,completed
100,531,2026-07-31 23:48:58.273612,completed
101,169,2026-07-29 23:48:58.273612,completed
102,958,2026-07-13 23:48:58.273612,completed
103,971,2026-04-29 23:48:58.273612,completed
104,867,2026-08-19 23:48:58.273612,completed
105,202,2026-03-30 23:48:58.273612,processing
106,282,2026-08-07 23:48:58.273612,cancelled
107,311,2026-04-04 23:48:58.273612,processing
108,96,2026-05-03 23:48:58.273612,cancelled
109,173,2026-04-10 23:48:58.273612,processing
110,158,2026-07-27 23:48:58.273612,cancelled
111,640,2026-04-07 23:48:58.273612,completed
112,863,2026-04-17 23:48:58.273612,completed
113,846,2026-09-01 23:48:58.273612,completed
114,47,2026-03-28 23:48:58.273612,processing
115,272,2026-03-26 23:48:58.273612,completed
116,786,2026-04-15 23:48:58.273612,completed
117,633,2026-03-29 23:48:58.273612,completed
118,510,2026-04-01 23:48:58.273612,processing
119,297,2026-03-28 23:48:58.273612,completed
120,495,2026-07-08 23:48:58.273612,cancelled
121,416,2026-06-24 23:48:58.273612,completed
122,75,2026-03-16 23:48:58.273612,completed
123,162,2026-05-19 23:48:58.273612,completed
124,496,2026-05-13 23:48:58.273612,completed
125,349,2026-04-06 23:48:58.273612,completed
126,321,2026-06-19 23:48:58.273612,cancelled
127,882,2026-06-12 23:48:58.273612,completed
128,134,2026-06-06 23:48:58.273612,processing
129,576,2026-08-12 23:48:58.273612,completed
130,248,2026-05-12 23:48:58.273612,completed
131,274,2026-05-16 23:48:58.273612,completed
132,145,2026-08-15 23:48:58.273612,completed
133,298,2026-06-02 23:48:58.273612,processing
134,429,2026-07-07 23:48:58.273612,completed
135,834,2026-06-17 23:48:58.273612,processing
136,739,2026-06-20 23:48:58.273612,completed
137,782,2026-07-30 23:48:58.273612,completed
138,528,2026-05-12 23:48:58.273612,completed
139,901,2026-06-22 23:48:58.273612,completed
140,24,2026-08-16 23:48:58.273612,completed
141,518,2026-05-14 23:48:58.273612,completed
142,221,2026-04-12 23:48:58.273612,completed
143,50,2026-08-27 23:48:58.273612,completed
144,507,2026-04-09 23:48:58.273612,cancelled
145,689,2026-05-11 23:48:58.273612,completed
146,550,2026-09-06 23:48:58.273612,completed
147,442,2026-08-05 23:48:58.273612,completed
148,745,2026-06-07 23:48:58.273612,completed
149,375,2026-08-28 23:48:58.273612,completed
150,53,2026-04-16 23:48:58.273612,processing
151,200,2026-06-08 23:48:58.273612,processing
152,296,2026-08-21 23:48:58.273612,completed
153,517,2026-05-16 23:48:58.273612,processing
154,287,2026-04-02 23:48:58.273612,cancelled
155,626,2026-08-09 23:48:58.273612,completed
156,999,2026-08-15 23:48:58.273612,completed
157,383,2026-06-14 23:48:58.273612,processing
158,962,2026-06-07 23:48:58.273612,completed
159,204,2026-04-07 23:48:58.273612,processing
160,412,2026-05-03 23:48:58.273612,completed
161,47,2026-08-30 23:48:58.273612,completed
162,731,2026-06-15 23:48:58.273612,completed
163,532,2026-05-15 23:48:58.273612,completed
164,621,2026-04-30 23:48:58.273612,completed
165,336,2026-04-05 23:48:58.273612,completed
166,167,2026-05-31 23:48:58.273612,processing
167,758,2026-06-24 23:48:58.273612,processing
168,345,2026-05-02 23:48:58.273612,processing
169,546,2026-05-06 23:48:58.273612,cancelled
170,577,2026-06-24 23:48:58.273612,completed
171,836,2026-09-04 23:48:58.273612,completed
172,340,2026-03-20 23:48:58.273612,completed
173,427,2026-04-12 23:48:58.273612,completed
174,816,2026-03-16 23:48:58.273612,cancelled
175,28,2026-04-09 23:48:58.273612,completed
176,272,2026-03-25 23:48:58.273612,processing
177,592,2026-07-12 23:48:58.273612,cancelled
178,53,2026-04-12 23:48:58.273612,completed
179,175,2026-04-27 23:48:58.273612,cancelled
180,739,2026-04-03 23:48:58.273612,completed
181,152,2026-03-18 23:48:58.273612,completed
182,33,2026-04-15 23:48:58.273612,cancelled
183,113,2026-07-22 23:48:58.273612,completed
184,452,2026-06-20 23:48:58.273612,completed
185,156,2026-05-26 23:48:58.273612,cancelled
186,209,2026-05-26 23:48:58.273612,processing
187,794,2026-04-05 23:48:58.273612,completed
188,894,2026-08-24 23:48:58.273612,cancelled
189,142,2026-04-29 23:48:58.273612,completed
