user_id,registration_date,city,age
1,2026-03-17 22:03:02,Санкт-Петербург,19
2,2026-08-10 04:52:16,Екатеринбург,33
3,2026-08-24 19:52:27,Новосибирск,26
4,2026-07-29 05:04:02,Санкт-Петербург,61
5,2025-11-01 03:51:54,Уфа,23
6,2026-06-10 05:08:55,Красноярск,45
7,2025-12-22 07:06:17,Москва,19
8,2026-05-21 05:33:27,Санкт-Петербург,31
9,2026-04-23 22:25:19,Новосибирск,50
10,2026-05-02 00:07:30,Красноярск,19
11,2026-08-31 06:12:57,Уфа,30
12,2026-04-15 18:11:29,Уфа,44
13,2026-05-29 13:32:25,Новосибирск,46
14,2026-02-08 01:36:38,Красноярск,35
15,2026-05-06 02:14:21,Москва,66
16,2025-12-02 02:57:12,Казань,62
17,2025-12-26 05:03:32,Ростов-на-Дону,39
18,2025-10-10 00:48:33,Екатеринбург,27
19,2025-10-12 22:37:17,Новосибирск,66
20,2026-07-19 05:09:30,Нижний Новгород,24
21,2025-10-26 01:31:32,Санкт-Петербург,42
22,2025-09-17 16:31:32,Санкт-Петербург,40
23,2026-08-04 02:22:09,Нижний Новгород,56
24,2026-08-31 20:33:49,Екатеринбург,69
25,2026-04-27 00:54:36,Москва,64
26,2026-07-18 13:03:53,Самара,52
27,2026-06-21 21:45:29,Санкт-Петербург,42
28,2025-10-03 21:56:01,Санкт-Петербург,53
29,2026-02-11 18:20:57,Екатеринбург,58
30,2025-11-13 03:35:23,Красноярск,41
31,2026-08-26 03:41:28,Красноярск,30
32,2026-07-15 03:58:30,Санкт-Петербург,20
33,2026-08-31 05:20:58,Новосибирск,67
34,2026-04-07 06:06:01,Екатеринбург,23
35,2025-10-30 08:10:03,Новосибирск,24
36,2026-08-07 16:57:36,Ростов-на-Дону,35
37,2026-08-08 13:03:03,Самара,58
38,2026-05-09 02:48:01,Нижний Новгород,28
39,2026-09-03 01:19:25,Нижний Новгород,40
40,2026-06-28 03:58:42,Новосибирск,60
41,2025-09-19 03:28:15,Екатеринбург,62
42,2026-08-31 18:52:42,Санкт-Петербург,56
43,2025-09-30 07:20:48,Казань,52
44,2026-05-24 15:23:33,Новосибирск,28
45,2026-02-24 14:11:40,Самара,42
46,2026-04-06 07:22:15,Екатеринбург,58
47,2026-05-06 21:44:35,Уфа,32
48,2026-06-29 20:06:57,Нижний Новгород,67
49,2026-04-06 15:40:29,Москва,32
50,2025-09-20 18:49:18,Москва,69
51,2025-10-22 15:07:13,Нижний Новгород,43
52,2026-03-24 02:43:45,Екатеринбург,22
53,2025-10-10 03:42:18,Новосибирск,54
54,2026-04-20 15:53:38,Нижний Новгород,31
55,2026-08-04 04:19:42,Самара,43
56,2026-04-26 23:14:50,Самара,27
57,2025-09-24 07:55:46,Екатеринбург,26
58,2025-09-13 01:19:55,Новосибирск,65
59,2025-11-20 08:53:01,Уфа,52
60,2026-01-21 05:17:38,Екатеринбург,65
61,2026-07-19 01:02:07,Красноярск,45
62,2025-10-05 02:36:00,Красноярск,43
63,2026-01-03 04:02:36,Нижний Новгород,32
64,2026-08-20 00:27:57,Казань,50
65,2026-04-14 12:25:03,Самара,23
66,2026-05-10 20:08:38,Москва,25
67,2026-07-03 14:30:59,Казань,58
68,2025-09-28 08:49:31,Казань,68
69,2026-01-02 00:47:20,Ростов-на-Дону,56
70,2025-09-23 06:11:15,Санкт-Петербург,42
71,2026-05-05 04:25:00,Ростов-на-Дону,56
72,2025-11-27 22:30:14,Самара,51
73,2026-02-17 18:21:56,Екатеринбург,53
74,2026-07-16 08:43:27,Москва,61
75,2025-12-28 08:10:45,Санкт-Петербург,61
76,2026-05-17 14:40:39,Уфа,66
77,2025-11-06 07:21:54,Екатеринбург,67
78,2026-08-27 14:45:03,Нижний Новгород,25
79,2026-06-09 13:00:10,Екатеринбург,45
80,2025-12-09 03:03:04,Казань,47
81,2026-05-01 02:38:01,Москва,64
82,2026-01-21 11:58:19,Екатеринбург,50
83,2025-09-11 21:39:46,Казань,50
84,2026-02-05 00:16:22,Санкт-Петербург,58
85,2026-06-14 08:19:25,Екатеринбург,58
86,2026-08-21 16:25:05,Уфа,56
87,2026-01-24 05:52:43,Новосибирск,27
88,2025-12-18 23:42:31,Нижний Новгород,66
89,2026-07-13 17:09:05,Казань,52
90,2026-02-07 15:58:55,Уфа,18
91,2025-10-05 11:11:47,Красноярск,38
92,2026-06-13 20:40:25,Самара,19
93,2026-01-28 22:30:18,Санкт-Петербург,41
94,2025-09-18 12:43:02,Екатеринбург,33
95,2026-03-23 12:35:16,Москва,33
96,2025-11-21 14:35:15,Красноярск,23
97,2026-04-11 08:56:04,Санкт-Петербург,64
98,2025-12-02 07:41:51,Самара,70
99,2026-04-01 01:07:50,Санкт-Петербург,66
100,2026-01-16 17:32:45,Уфа,67
101,2026-01-31 03:54:44,Казань,26
102,2026-02-26 09:51:59,Самара,53
103,2025-12-06 07:08:55,Казань,34
104,2026-04-24 23:18:01,Уфа,56
105,2025-09-25 07:33:05,Ростов-на-Дону,31
106,2026-05-21 20:42:52,Уфа,66
107,2026-03-30 00:16:41,Новосибирск,63
108,2026-06-30 01:49:04,Екатеринбург,43
109,2026-09-05 08:25:46,Нижний Новгород,46
110,2025-09-19 16:05:00,Уфа,46
111,2026-08-24 16:04:20,Санкт-Петербург,33
112,2025-09-09 01:40:25,Новосибирск,22
113,2026-02-12 10:51:10,Нижний Новгород,19
114,2026-08-06 02:17:18,Красноярск,53
115,2025-11-21 01:48:39,Новосибирск,55
116,2026-08-06 15:56:07,Новосибирск,18
117,2025-11-12 09:46:45,Санкт-Петербург,63
118,2025-09-25 22:54:13,Москва,32
119,2025-12-20 01:30:53,Санкт-Петербург,20
120,2025-12-27 00:45:37,Нижний Новгород,22
121,2026-01-16 07:31:23,Уфа,33
122,2026-01-06 20:37:37,Екатеринбург,60
123,2025-10-15 00:06:43,Самара,31
124,2025-12-05 10:27:02,Уфа,26
125,2026-07-19 00:42:08,Красноярск,54
126,2026-08-02 18:46:57,Самара,33
127,2026-07-28 13:04:36,Самара,69
128,2026-07-04 02:15:02,Ростов-на-Дону,30
129,2026-02-04 21:04:18,Санкт-Петербург,24
130,2025-09-25 09:35:37,Ростов-на-Дону,40
131,2026-07-18 10:36:56,Ростов-на-Дону,44
132,2025-11-30 14:24:26,Самара,64
133,2026-03-27 11:03:16,Москва,61
134,2026-02-14 15:23:47,Санкт-Петербург,21
135,2026-07-04 17:29:28,Ростов-на-Дону,64
136,2026-07-16 02:36:33,Нижний Новгород,69
137,2025-10-23 18:06:19,Санкт-Петербург,33
138,2026-02-10 08:42:28,Новосибирск,30
139,2025-12-30 15:23:22,Уфа,46
140,2026-04-14 20:45:43,Казань,45
141,2025-12-05 22:56:25,Казань,35
142,2026-02-14 21:04:06,Самара,33
143,2026-08-02 02:12:49,Санкт-Петербург,46
144,2026-06-21 09:48:30,Уфа,24
145,2026-03-05 13:09:58,Москва,59
146,2025-09-21 19:27:39,Уфа,18
147,2025-10-01 09:47:06,Санкт-Петербург,66
148,2026-03-15 16:47:34,Новосибирск,28
149,2026-01-09 01:21:13,Ростов-на-Дону,49
150,2026-03-06 21:22:36,Самара,31
151,2026-03-21 13:35:57,Ростов-на-Дону,21
152,2026-08-16 08:31:24,Казань,42
